Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Verwaltung,"IT- und Kommunikation","Energie und Umwelt",Mobilität,Gesellschaft
1,→,0,Hamburg,"79,2","70,66","70,39","64,76","96,77","93,42"
2,↗,3,München,"74,37","67,55","72,42","68,38","91,04","72,45"
3,↗,5,Köln,"73,01","66,56","82,01","57,26","72,38","86,85"
4,↑,6,Darmstadt,"71,71","72,08","66,98","65,88","72,33","81,29"
5,↘,-3,Karlsruhe,"70,03","83,72","55,34","56,35","75,51","79,25"
6,↘,-3,Stuttgart,"69,07","74,65","50,76","67,33","78,01","74,6"
7,↘,-3,Berlin,"68,78","72,6","63,58","43,84","78,52","85,34"
8,↑,23,Osnabrück,66,"81,82","46,54","63,88","66,36","71,39"
9,↗,2,Aachen,"65,87","58,81","58,17","54,99","83,75","73,64"
10,↘,-4,Heidelberg,"65,73","73,11","52,7","68,82","54,45","79,59"
11,↗,2,Düsseldorf,"65,16","74,9","58,43","47,23","66,29","78,94"
12,↗,5,Leipzig,"64,79","55,49","53,17","56,57","65,44","93,29"
13,↓,-6,Bonn,"64,38","75,89","63,07","45,19","57,48","80,27"
14,↑,13,Münster,"63,38","73,42","51,55","59,8","51,65","80,48"
15,↑,10,"Freiburg im Breisgau","61,65","61,44","46,74","57,1","62,02","80,95"
16,↑,13,Ulm,"61,39","56,14","56,83","56,36","65,45","71,17"
17,↗,3,Mannheim,"60,77","73,95","51,31","46,9","64,21","67,46"
18,↑,14,Bochum,"59,64","59,59","66,84","47,29","71,01","53,44"
19,↑,14,Duisburg,59,"63,71","51,05","55,29","63,7","61,23"
20,↘,-5,Potsdam,"58,28","64,99","47,36","50,75","59,23","69,05"
21,→,0,Ingolstadt,"58,16","81,46","48,31","54,22","51,02","55,78"
22,↑,23,Gelsenkirchen,"57,47","57,57","66,53","53,1","52,22","57,93"
23,↘,-1,Wuppertal,"57,18","66,86","48,11","43,28","46,45","81,18"
24,↓,-10,Dresden,"57,01","55,54","55,87","37,2","64,6","71,86"
25,↓,-13,"Frankfurt am Main","56,27","60,7","49,92","29,29","68,57","72,9"
26,↓,-10,Kiel,"54,64","60,14","54,58","42,19","55,38","60,88"
27,,n.a.,Kaiserslautern,"53,25","61,16","50,04","57,9","44,21","52,95"
28,↘,-2,Wiesbaden,"52,06","52,11","57,71","38,29","62,86","49,32"
29,↓,-11,Nürnberg,"51,63","51,13","52,6","46,65","68,53","39,23"
30,↑,9,Paderborn,"51,32","64,75","45,82","46,76","35,22","64,04"
31,↓,-12,Bielefeld,"51,31","70,44","31,14","43,03","44,61","67,35"
32,↓,-23,Dortmund,"51,03","57,18","54,67","35,46","52,35","55,47"
33,↘,-5,Braunschweig,"50,53","73,44","35,84","48,02","44,5","50,83"
34,↗,4,Bremen,"48,7","51,84","39,12","39,84","58,87","53,85"
35,↑,19,Erlangen,"48,6","49,86","48,42","41,73","43,68","59,3"
36,↑,22,Mainz,"48,12","61,68","44,08","38,5","53,8","42,52"
37,→,0,Wolfsburg,"47,78","62,6","39,68","46,77","41,59","48,24"
38,↑,29,Lübeck,"47,47","54,02","51,73","42,34","50,9","38,35"
39,↓,-16,Hannover,"47,19","54,7","39,2","36,79","68,84","36,39"
40,↑,7,Göttingen,"47,13","55,81","58,23","37,43","48,79","35,41"
41,↗,3,Solingen,"46,89","61,71","50,02","57,53","22,2","42,97"
42,↗,4,Jena,"46,8","58,46","36,91","37,79","27,81","73,05"
43,↘,-2,Trier,"46,24","57,98","35,31","50,41","42,77","44,73"
44,↑,8,Essen,"46,21","57,06","31,64","49,32","49,61","43,44"
45,↓,-21,Augsburg,"45,76","57,84","38,65","42,26","51,37","38,66"
46,↘,-3,Magdeburg,"44,78","51,7","30,87","36,83","45,06","59,46"
47,↓,-12,Kassel,"44,65","54,53","35,35","42,7","42,26","48,41"
48,↓,-12,"Halle (Saale)","44,38","61,94","32,58","24,25","31,73","71,41"
49,↑,13,Würzburg,"43,75","55,91","26,56","46,55","30,47","59,24"
50,↓,-16,Oldenburg,"43,03","33,02","47,51","47,08","36,74","50,79"
51,↑,25,Recklinghausen,"42,8","49,69","45,22","33,34","38,24","47,51"
52,↘,-1,Mönchengladbach,"41,99","51,28","39,87","18,21","48,89","51,68"
53,↑,22,Fürth,"41,81","59,69","37,02","43,31","39,32","29,7"
54,↓,-14,Regensburg,"41,17","29,4","46,31","49,51","39,59","41,04"
55,↑,15,Saarbrücken,"40,59","60,98","39,89","39,63","32,75","29,71"
56,↑,18,Hagen,"40,38","51,49","45,51","39,7","32,22","32,99"
57,→,0,Pforzheim,"39,86","45,93","44,02","34,82","38,68","35,88"
58,↑,10,Reutlingen,"39,43","43,16","33,22","50,2","42,93","27,66"
59,↑,12,Koblenz,"39,3","57,28","32,43","40,24","22,89","43,65"
60,↓,-30,Erfurt,"39,09","57,64","31,47","24,56","44,71","37,07"
61,↘,-5,Chemnitz,"38,91","46,4","25,77","31,9","26,31","64,17"
62,↓,-9,Bottrop,"38,72","59,54","22,56","36,51","42,43","32,54"
63,↑,14,Oberhausen,"37,38","35,96","48,33","23,73","37,73","41,14"
64,↑,9,Hildesheim,"37,17","40,18","41,08","28,43","19,41","56,74"
65,↓,-10,Rostock,"36,85","42,33","31,45","26,92","43,51","40,02"
66,↓,-6,"Offenbach am Main","36,74","60,27","39,09","24,64","39,32","20,41"
67,↓,-17,Gütersloh,"35,85","46,37","30,98","43,18","36,94","21,79"
68,↗,1,Heilbronn,"34,91","52,43","14,95","32,26","26,75","48,19"
69,↓,-10,"Ludwigshafen am
Rhein","34,29","45,44","39,77","28,89","25,42","31,94"
70,↓,-21,Krefeld,"31,63","35,73","21,89","20,74","33,28","46,52"
71,↘,-5,Leverkusen,"31,25","29,34","35,21","34,87","28,22","28,61"
72,↓,-7,Neuss,"31,21","35,26","38,85","27,8","21,43","32,71"
73,↓,-9,Herne,"30,96","42,79","31,96","22,55","26,99","30,5"
74,↓,-32,Hamm,"30,84","54,98","24,08","19,7","30,19","25,25"
75,↗,3,Bremerhaven,"29,88","46,72","29,17","22,32","29,06","22,11"
76,↓,-28,Moers,"29,81","33,95","43,43","10,98","33,81","26,87"
77,↗,2,Remscheid,"28,98","37,94","31,04","26,24","27,57","22,11"
78,↓,-6,"Mülheim an der Ruhr","28,42","34,09","21,45","33,61","19,27","33,67"
79,↓,-18,Siegen,"28,29","35,48","26,01","23,67","20,71","35,6"
80,→,0,"Bergisch Gladbach","23,49","31,15","23,66","17,91","29,45","15,31"
81,→,0,Salzgitter,"17,71","18,05","18,16","14,95","22,06","15,31"
