Rang,Tendenz,Stadt,Gesamt,"Interne Prozesse","Bürgeramt","Online-Terminvergabe","Online-Dienstleistungen","Bürgerinformationen","Social-Media-Präsenz","City-App","Weitere Pilotprojekte"
1,↑,+16,Karlsruhe,"83,72","100,00","79,31","85,00","66,94","62,18","86,89","100,00","35,00"
2,↑,+19,Osnabrück,"81,82","100,00","89,66","39,17","83,47","54,06","100,00","100,00","35,00"
3,↗,+5,Ingolstadt,"81,46","100,00","100,00","70,83","86,78","41,10","100,00","100,00","0,00"
4,↘,-1,Bonn,"75,89","75,00","84,48","50,00","93,39","89,74","86,89","66,67","11,66"
5,↑,+45,Düsseldorf,"74,90","62,50","100,00","55,83","71,07","97,31","73,77","66,67","23,33"
6,↑,+25,Stuttgart,"74,65","70,00","68,97","70,83","75,21","75,15","86,89","66,67","35,00"
7,↓,-6,Mannheim,"73,95","87,50","65,52","83,33","66,94","88,11","73,77","66,67","11,66"
8,↑,+38,Braunschweig,"73,44","75,00","72,41","60,00","66,12","54,62","100,00","100,00","11,66"
9,↑,+10,Münster,"73,42","75,00","48,28","83,33","91,74","42,71","86,89","100,00","11,66"
10,↗,+1,Heidelberg,"73,11","75,00","63,79","29,17","100,00","67,73","100,00","66,67","35,00"
11,↓,-9,Berlin,"72,60","87,50","65,52","100,00","66,12","97,29","67,21","50,00","0,00"
12,↑,+3,Darmstadt,"72,08","75,00","89,66","66,67","50,41","80,81","67,21","100,00","0,00"
13,↘,-4,Hamburg,"70,66","87,50","79,31","54,17","64,46","60,55","100,00","50,00","23,33"
14,↓,-9,Bielefeld,"70,44","50,00","79,31","83,33","83,47","49,88","93,44","66,67","11,66"
15,↓,-8,München,"67,55","70,00","79,31","62,50","99,17","26,88","80,33","66,67","11,66"
16,↑,+10,Wuppertal,"66,86","87,50","79,31","83,33","57,02","70,97","1,64","100,00","11,66"
17,↘,-4,Köln,"66,56","75,00","58,62","66,67","75,21","60,15","86,89","66,67","0,00"
18,↑,+20,Potsdam,"64,99","75,00","0,00","66,67","82,64","66,50","86,89","100,00","0,00"
19,↑,+20,Paderborn,"64,75","100,00","37,93","100,00","75,21","68,80","60,66","33,33","0,00"
20,↑,+14,Duisburg,"63,71","87,50","100,00","70,83","50,41","34,05","73,77","16,67","35,00"
21,↓,-11,Wolfsburg,"62,60","50,00","79,31","66,67","56,20","79,61","100,00","16,67","11,66"
22,↓,-6,Halle (Saale),"61,94","75,00","65,52","83,33","41,32","55,69","34,43","100,00","0,00"
23,↑,+19,Solingen,"61,71","87,50","65,52","20,83","52,07","48,66","60,66","83,33","35,00"
24,↑,+6,Mainz,"61,68","87,50","100,00","66,67","68,60","26,51","54,10","50,00","0,00"
25,→,0,"Freiburg im Breisgau","61,44","75,00","100,00","83,33","66,94","29,21","73,77","0,00","23,33"
26,,n.a.,Kaiserslautern,"61,16","75,00","79,31","66,67","64,46","41,10","21,31","66,67","35,00"
27,↑,+30,Saarbrücken,"60,98","50,00","24,14","50,00","95,04","63,27","54,10","100,00","11,66"
28,↑,+15,Frankfurt am Main,"60,70","50,00","79,31","33,33","75,21","41,61","100,00","66,67","0,00"
29,↓,-6,Offenbach am Main,"60,27","75,00","86,21","50,00","78,51","79,47","73,77","0,00","0,00"
30,↑,+10,Kiel,"60,14","75,00","37,93","51,67","33,88","100,00","86,89","33,33","23,33"
31,↑,+46,Fürth,"59,69","100,00","51,72","83,33","0,00","0,00","80,33","100,00","23,33"
32,↑,+26,Bochum,"59,59","100,00","58,62","70,83","46,28","53,50","73,77","0,00","35,00"
33,↑,+11,Bottrop,"59,54","75,00","79,31","50,00","76,03","47,05","86,89","0,00","23,33"
34,↗,+3,Aachen,"58,81","75,00","51,72","50,00","90,91","42,73","86,89","0,00","35,00"
35,↓,-15,Jena,"58,46","75,00","34,48","66,67","29,75","23,77","100,00","100,00","0,00"
36,→,0,Trier,"57,98","75,00","65,52","16,67","62,81","70,70","73,77","50,00","11,66"
37,↓,-31,Augsburg,"57,84","62,50","27,59","66,67","70,25","16,23","86,89","83,33","11,66"
38,↑,+10,Erfurt,"57,64","87,50","65,52","66,67","57,85","8,67","54,10","83,33","0,00"
39,↑,+25,Gelsenkirchen,"57,57","87,50","17,24","58,33","48,76","29,35","80,33","66,67","35,00"
40,↑,+13,Koblenz,"57,28","75,00","68,97","50,00","83,47","39,48","54,10","50,00","0,00"
41,↓,-37,Dortmund,"57,18","65,00","51,72","55,00","74,38","34,18","100,00","16,67","23,33"
42,↓,-10,Essen,"57,06","50,00","41,38","66,67","42,15","29,21","100,00","66,67","23,33"
43,↑,+16,Ulm,"56,14","37,50","24,14","66,67","68,60","45,43","80,33","66,67","23,33"
44,↑,+16,Würzburg,"55,91","75,00","65,52","70,83","62,81","51,38","73,77","0,00","11,66"
45,↓,-12,Göttingen,"55,81","100,00","86,21","50,00","31,40","54,62","21,31","66,67","0,00"
46,↓,-17,Dresden,"55,54","75,00","41,38","57,50","19,01","71,90","93,44","50,00","0,00"
47,↓,-25,Leipzig,"55,49","75,00","68,97","100,00","38,02","18,95","83,61","0,00","23,33"
48,↑,+15,Hamm,"54,98","75,00","48,28","16,67","93,39","23,77","80,33","66,67","0,00"
49,↓,-35,Hannover,"54,70","75,00","79,31","100,00","49,59","17,83","80,33","0,00","0,00"
50,↘,-5,Kassel,"54,53","75,00","37,93","66,67","58,68","58,94","86,89","16,67","0,00"
51,↑,+22,Lübeck,"54,02","75,00","62,07","83,33","33,88","41,11","0,00","66,67","35,00"
52,↑,+17,Heilbronn,"52,43","87,50","65,52","50,00","58,68","36,79","86,89","0,00","0,00"
53,↓,-26,Wiesbaden,"52,11","75,00","0,00","70,83","91,74","45,41","100,00","0,00","0,00"
54,↘,-2,Bremen,"51,84","87,50","10,34","55,83","53,72","73,65","100,00","0,00","0,00"
55,↓,-37,Magdeburg,"51,70","75,00","79,31","68,33","25,62","51,38","80,33","0,00","0,00"
56,↑,+16,Hagen,"51,49","75,00","72,41","50,00","61,16","16,21","80,33","0,00","23,33"
57,↓,-33,Mönchengladbach,"51,28","87,50","3,45","83,33","79,34","21,07","67,21","0,00","35,00"
58,↓,-46,Nürnberg,"51,13","50,00","65,52","66,67","74,38","33,80","73,77","0,00","11,66"
59,↘,-5,Erlangen,"49,86","100,00","65,52","1,67","49,59","49,73","100,00","0,00","0,00"
60,↑,+19,Recklinghausen,"49,69","87,50","0,00","20,83","58,68","24,88","100,00","50,00","23,33"
61,↑,+7,Bremerhaven,"46,72","65,00","37,93","66,67","37,19","49,74","86,89","0,00","0,00"
62,↑,+9,Chemnitz,"46,40","87,50","10,34","12,50","17,36","39,47","67,21","83,33","23,33"
63,↓,-35,Gütersloh,"46,37","25,00","41,38","50,00","90,91","33,54","100,00","0,00","0,00"
64,↘,-2,Pforzheim,"45,93","75,00","37,93","66,67","25,62","22,16","86,89","0,00","23,33"
65,↓,-16,"Ludwigshafen am Rhein","45,44","100,00","24,14","50,00","42,15","30,81","86,89","0,00","0,00"
66,↓,-10,Reutlingen,"43,16","75,00","13,79","16,67","41,32","33,54","86,89","50,00","0,00"
67,↓,-32,Herne,"42,79","75,00","0,00","66,67","20,66","24,88","60,66","66,67","0,00"
68,↑,+7,Rostock,"42,33","37,50","37,93","66,67","62,81","33,54","39,34","33,33","0,00"
69,↓,-8,Hildesheim,"40,18","50,00","13,79","62,50","47,93","11,88","47,54","50,00","11,66"
70,↑,+6,Remscheid,"37,94","40,00","24,14","68,33","53,72","10,26","54,10","16,67","11,66"
71,↑,+7,Oberhausen,"35,96","75,00","10,34","1,67","83,47","12,97","47,54","33,33","0,00"
72,↓,-25,Krefeld,"35,73","75,00","10,34","16,67","52,07","21,64","86,89","0,00","0,00"
73,↓,-7,Siegen,"35,48","37,50","65,52","0,00","57,85","12,99","86,89","0,00","0,00"
74,↓,-9,Neuss,"35,26","37,50","24,14","50,00","42,15","57,85","47,54","0,00","0,00"
75,↘,-1,"Mülheim an der Ruhr","34,09","12,50","0,00","50,00","58,68","30,83","86,89","0,00","11,66"
76,↓,-35,Moers,"33,95","50,00","0,00","50,00","36,36","14,61","86,89","0,00","11,66"
77,↓,-22,Oldenburg,"33,02","50,00","0,00","50,00","43,80","51,38","47,54","0,00","0,00"
78,↗,+3,Bergisch Gladbach,"31,15","50,00","6,90","51,67","29,75","56,23","34,43","0,00","0,00"
79,↓,-9,Regensburg,"29,40","75,00","10,34","1,67","42,15","0,01","86,89","0,00","0,00"
80,↓,-13,Leverkusen,"29,34","25,00","44,83","50,00","42,15","22,16","8,20","0,00","23,33"
81,↘,-1,Salzgitter,"18,05","0,00","0,00","16,67","27,27","28,10","60,66","0,00","0,00"
