Rang,Tendenz,"Unterschied Vorjahr",Stadt,Gesamt,Bürgerbeteiligung,"FabLabs und Coworking",Digital-Szene,Open-Data-Plattform,Geodatenportal,"Smart Culture","Lokaler Handel und Startup-Hubs","Weitere Pilotprojekte"
1,→,0,Hamburg,"93,42","100,00","75,00","100,00","100,00","100,00","100,00","100,00","11,66"
2,↑,+17,Leipzig,"93,29","94,87","100,00","93,33","100,00","62,50","100,00","100,00","35,00"
3,↑,+7,Köln,"86,85","100,00","87,50","100,00","90,00","87,50","100,00","50,00","23,33"
4,↗,+2,Berlin,"85,34","89,74","87,50","100,00","100,00","75,00","100,00","75,00","0,00"
5,↑,+8,Darmstadt,"81,29","83,33","100,00","66,67","50,00","62,50","100,00","100,00","35,00"
6,↘,-4,Wuppertal,"81,18","83,33","62,50","60,00","80,00","87,50","100,00","100,00","23,33"
7,↗,+1,"Freiburg im Breisgau","80,95","83,33","87,50","66,67","90,00","62,50","100,00","70,00","35,00"
8,↑,+24,Münster,"80,48","78,21","100,00","93,33","70,00","87,50","100,00","62,50","0,00"
9,↘,-5,Bonn,"80,27","100,00","75,00","93,33","100,00","75,00","66,67","45,00","35,00"
10,↑,+8,Heidelberg,"79,59","66,67","100,00","93,33","90,00","37,50","100,00","62,50","35,00"
11,↗,+1,Karlsruhe,"79,25","66,67","87,50","100,00","100,00","100,00","66,67","50,00","11,66"
12,↑,+11,Düsseldorf,"78,94","41,03","87,50","100,00","90,00","100,00","100,00","50,00","11,66"
13,↑,+7,Stuttgart,"74,60","93,33","62,50","100,00","25,00","87,50","100,00","45,00","35,00"
14,↑,+7,Aachen,"73,64","32,05","87,50","66,67","70,00","87,50","100,00","62,50","35,00"
15,↑,+26,Jena,"73,05","43,59","87,50","93,33","80,00","87,50","100,00","45,00","0,00"
16,↓,-13,Frankfurt am Main,"72,90","83,33","50,00","100,00","70,00","87,50","100,00","45,00","0,00"
17,↑,+18,München,"72,45","33,33","75,00","100,00","80,00","87,50","100,00","45,00","11,66"
18,↓,-11,Ulm,"72,17","51,28","75,00","66,67","90,00","75,00","66,67","82,50","23,33"
19,↑,+8,Dresden,"71,86","94,87","62,50","100,00","100,00","87,50","33,33","50,00","0,00"
20,↓,-6,Halle (Saale),"71,41","61,54","62,50","60,00","80,00","87,50","100,00","50,00","23,33"
21,↑,+40,Osnabrück,"71,39","39,74","62,50","60,00","90,00","87,50","100,00","50,00","35,00"
22,↑,+9,Potsdam,"69,05","100,00","87,50","60,00","60,00","0,00","100,00","100,00","0,00"
23,↘,-1,Mannheim,"67,46","83,33","50,00","66,67","60,00","87,50","100,00","25,00","23,33"
24,↗,+1,Bielefeld,"67,35","0,00","75,00","93,33","70,00","100,00","100,00","45,00","11,66"
25,↓,-14,Chemnitz,"64,17","100,00","62,50","93,33","70,00","62,50","33,33","50,00","0,00"
26,↑,+16,Paderborn,"64,04","61,54","62,50","66,67","25,00","75,00","100,00","45,00","35,00"
27,↑,+19,Duisburg,"61,23","67,95","37,50","33,33","70,00","62,50","100,00","43,75","35,00"
28,↘,-4,Kiel,"60,88","33,33","100,00","60,00","80,00","62,50","0,00","100,00","11,66"
29,↓,-13,Magdeburg,"59,46","32,05","87,50","66,67","80,00","37,50","33,33","100,00","0,00"
30,↑,+29,Erlangen,"59,30","10,00","87,50","66,67","50,00","60,00","100,00","50,00","11,66"
31,↑,+34,Würzburg,"59,24","32,05","75,00","66,67","80,00","75,00","33,33","50,00","23,33"
32,↗,+2,Gelsenkirchen,"57,93","47,44","50,00","0,00","80,00","75,00","100,00","50,00","23,33"
33,↑,+36,Hildesheim,"56,74","15,38","87,50","26,67","25,00","62,50","100,00","100,00","0,00"
34,↗,+5,Ingolstadt,"55,78","16,67","75,00","60,00","50,00","75,00","33,33","100,00","0,00"
35,↓,-30,Dortmund,"55,47","24,36","75,00","66,67","90,00","25,00","16,67","75,00","35,00"
36,↑,+19,Bremen,"53,85","16,67","75,00","66,67","80,00","12,50","100,00","45,00","0,00"
37,↓,-28,Bochum,"53,44","60,26","50,00","26,67","70,00","62,50","0,00","100,00","23,33"
38,,n.a.,Kaiserslautern,"52,95","0,00","12,50","66,67","25,00","50,00","100,00","100,00","35,00"
39,↑,+23,Mönchengladbach,"51,68","78,21","25,00","0,00","50,00","25,00","66,67","100,00","35,00"
40,↓,-11,Braunschweig,"50,83","94,87","75,00","33,33","0,00","37,50","66,67","31,25","35,00"
41,↑,+11,Oldenburg,"50,79","16,67","87,50","33,33","0,00","87,50","100,00","25,00","23,33"
42,↗,+3,Wiesbaden,"49,32","66,67","50,00","33,33","0,00","62,50","100,00","50,00","0,00"
43,↓,-28,Kassel,"48,41","66,67","75,00","66,67","0,00","87,50","0,00","25,00","35,00"
44,↘,-1,Wolfsburg,"48,24","32,05","37,50","0,00","25,00","75,00","100,00","50,00","35,00"
45,↓,-12,Heilbronn,"48,19","83,33","62,50","33,33","0,00","75,00","0,00","100,00","0,00"
46,↑,+33,Recklinghausen,"47,51","0,00","0,00","26,67","60,00","62,50","100,00","100,00","0,00"
47,↓,-7,Krefeld,"46,52","43,59","50,00","0,00","70,00","75,00","66,67","25,00","11,66"
48,↓,-22,Trier,"44,73","83,33","50,00","60,00","0,00","75,00","16,67","43,75","0,00"
49,↑,+28,Koblenz,"43,65","0,00","37,50","33,33","25,00","75,00","100,00","50,00","0,00"
50,↑,+7,Essen,"43,44","21,79","62,50","33,33","60,00","50,00","66,67","25,00","0,00"
51,↘,-4,Solingen,"42,97","100,00","12,50","0,00","0,00","75,00","66,67","50,00","11,66"
52,↑,+22,Mainz,"42,52","16,67","37,50","33,33","0,00","62,50","100,00","62,50","0,00"
53,↑,+26,Oberhausen,"41,14","78,21","37,50","0,00","50,00","50,00","66,67","20,00","0,00"
54,↓,-37,Regensburg,"41,04","16,67","87,50","60,00","0,00","87,50","0,00","50,00","0,00"
55,↓,-25,Rostock,"40,02","83,33","12,50","33,33","90,00","75,00","0,00","0,00","0,00"
56,↘,-2,Nürnberg,"39,23","83,33","50,00","60,00","0,00","0,00","33,33","50,00","11,66"
57,↓,-20,Augsburg,"38,66","0,00","50,00","60,00","0,00","37,50","100,00","25,00","11,66"
58,↑,+7,Lübeck,"38,35","7,69","62,50","26,67","25,00","0,00","100,00","25,00","35,00"
59,↓,-31,Erfurt,"37,07","33,33","75,00","26,67","0,00","37,50","100,00","0,00","0,00"
60,↘,-2,Hannover,"36,39","26,67","25,00","100,00","0,00","37,50","33,33","45,00","0,00"
61,↘,-2,Pforzheim,"35,88","15,38","50,00","0,00","25,00","0,00","100,00","50,00","23,33"
62,↓,-26,Siegen,"35,60","0,00","62,50","33,33","0,00","37,50","33,33","95,00","0,00"
63,→,0,Göttingen,"35,41","43,59","50,00","33,33","0,00","50,00","33,33","50,00","0,00"
64,↓,-16,"Mülheim an der Ruhr","33,67","66,67","12,50","0,00","60,00","50,00","33,33","25,00","0,00"
65,↑,+11,Hagen,"32,99","16,67","37,50","0,00","50,00","75,00","0,00","40,00","23,33"
66,↓,-17,Neuss,"32,71","0,00","50,00","26,67","70,00","87,50","0,00","6,25","0,00"
67,↓,-17,Bottrop,"32,54","16,67","50,00","0,00","60,00","62,50","0,00","50,00","0,00"
68,↗,+4,"Ludwigshafen am Rhein","31,94","56,41","75,00","0,00","0,00","0,00","66,67","25,00","11,66"
69,↘,-5,Herne,"30,50","0,00","0,00","0,00","70,00","87,50","66,67","0,00","0,00"
70,↘,-2,Saarbrücken,"29,71","0,00","75,00","60,00","0,00","0,00","33,33","50,00","0,00"
71,↘,-2,Fürth,"29,70","0,00","100,00","0,00","0,00","50,00","0,00","45,00","23,33"
72,↓,-21,Leverkusen,"28,61","60,26","62,50","0,00","0,00","62,50","0,00","25,00","0,00"
73,↘,-2,Reutlingen,"27,66","0,00","0,00","0,00","0,00","75,00","66,67","50,00","11,66"
74,↓,-21,Moers,"26,87","0,00","12,50","0,00","90,00","50,00","33,33","0,00","11,66"
75,↓,-37,Hamm,"25,25","23,08","62,50","0,00","0,00","50,00","0,00","50,00","0,00"
